node,lat,lon,REGION,node_name
CASS_CO_2,40.947913,-95.96403,SPP,SETTLEMENTLOCATION
SPS.BETH.BETH,34.575311,-102.4747,SPP,SETTLEMENTLOCATION
SPS.GBTL.BETHEL,34.575311,-102.4747,SPP,SETTLEMENTLOCATION
WR_KP_AUGICN1,37.686085,-96.96498,SPP,SETTLEMENTLOCATION
WR_KP_AUGICN2,37.686085,-96.96498,SPP,SETTLEMENTLOCATION
WR_KP_AUGICN3,37.686085,-96.96498,SPP,SETTLEMENTLOCATION
WR_KP_AUGICN4,37.686085,-96.96498,SPP,SETTLEMENTLOCATION
OKGECENTWIND,36.637733,-99.60187,SPP,SETTLEMENTLOCATION
WR.ERIE.EC,37.56681,-95.2375,SPP,SETTLEMENTLOCATION
WAUE.SUEZ.TPLH,44.40104,-99.60384,SPP,SETTLEMENTLOCATION
SPS.CHAVES.SLR,33.45,-104.456,SPP,SETTLEMENTLOCATION
SPS.ROSWLL.SLR,33.45293,-104.4611,SPP,SETTLEMENTLOCATION
SPS.WFEC.CHAVES2SOLAR,33.434335,-104.4476,SPP,SETTLEMENTLOCATION
BLUECANYON5,34.8217,-98.4525,SPP,SETTLEMENTLOCATION
MO.AE.CHIL2.MP,39.783388,-93.56411,SPP,SETTLEMENTLOCATION
OKGE.SWCV.CV,36.574722,-97.67361,SPP,SETTLEMENTLOCATION
OKGE.AECC.CHISHOLM2,36.574722,-97.67361,SPP,SETTLEMENTLOCATION
OKGE_CHISHOLM,36.574722,-97.67361,SPP,SETTLEMENTLOCATION
OKGE.KINGFISHER.WIND.1,35.770278,-97.79972,SPP,SETTLEMENTLOCATION
CANADIAN_HILLS_4,35.629722,-98.02472,SPP,SETTLEMENTLOCATION
CANADIAN_HILLS_1,35.629722,-98.02472,SPP,SETTLEMENTLOCATION
CANADIAN_HILLS_5,35.629722,-98.02472,SPP,SETTLEMENTLOCATION
CANADIAN_HILLS_2,35.629722,-98.02472,SPP,SETTLEMENTLOCATION
MKECCIM_UN1,37.1611,-100.7619,SPP,SETTLEMENTLOCATION
CANADIAN_HILLS_3,35.629722,-98.02472,SPP,SETTLEMENTLOCATION
SPS.CIRRUSWIND,33.033056,-101.6875,SPP,SETTLEMENTLOCATION
WR.MCPH.CT4,38.38932,-97.61108,SPP,SETTLEMENTLOCATION
SECI.GCMB.CIMARRONBEND1,37.355,-99.991,SPP,SETTLEMENTLOCATION
SECI.KACY.CIM,37.355,-99.991,SPP,SETTLEMENTLOCATION
SECI.CBN3.CB3WIND,37.414,-99.997,SPP,SETTLEMENTLOCATION
SECI.BLOO.CPBLOOM,37.4863,-99.9247,SPP,SETTLEMENTLOCATION
WR_KP_CCPUCIC1,39.373966,-97.12721,SPP,SETTLEMENTLOCATION
WR_KP_CCPUCIC2,39.373966,-97.12721,SPP,SETTLEMENTLOCATION
WR_KP_CCPUCIC3,39.373966,-97.12721,SPP,SETTLEMENTLOCATION
WR_KP_CCPUCIC4,39.373966,-97.12721,SPP,SETTLEMENTLOCATION
WR_KP_CCPUCIC5,39.373966,-97.12721,SPP,SETTLEMENTLOCATION
WR_KP_CCPUCIC8,39.373966,-97.12721,SPP,SETTLEMENTLOCATION
MKECCLIFTON_UN1,39.6125,-97.2778,SPP,SETTLEMENTLOCATION
COFFEYVILLE_7,37.037344,-95.61269,SPP,SETTLEMENTLOCATION
GRDA.COFF10,37.037344,-95.61269,SPP,SETTLEMENTLOCATION
GRDA.COFF8,37.037344,-95.61269,SPP,SETTLEMENTLOCATION
GRDA.COFF9,37.037344,-95.61269,SPP,SETTLEMENTLOCATION
WR.MW.COLBY.MW,39.403001,-101.0382,SPP,SETTLEMENTLOCATION
NPPD_COLUMBS_1,41.4639,-97.3283,SPP,SETTLEMENTLOCATION
NPPD_COLUMBS_2,41.4639,-97.3283,SPP,SETTLEMENTLOCATION
NPPD_COLUMBS_3,41.4639,-97.3283,SPP,SETTLEMENTLOCATION
CSWCOMANCHE1,34.5431,-98.3244,SPP,SETTLEMENTLOCATION
CSWCOMANCHE1,34.5431,-98.3244,SPP,SETTLEMENTLOCATION
CSWCOMANCHE1,34.5431,-98.3244,SPP,SETTLEMENTLOCATION
WAUE.NMCA.COONRAPIDS,41.871043,-94.68078,SPP,SETTLEMENTLOCATION
NPPD_COOPR,40.3628,-95.6408,SPP,SETTLEMENTLOCATION
WAUE.NWPS.COYOTE1,47.221447,-101.8157,SPP,SETTLEMENTLOCATION
SECI.UCU.ENSIGNWIND,37.614473,-100.2787,SPP,SETTLEMENTLOCATION
NPPD_CRFTNWIND,42.698333,-97.58,SPP,SETTLEMENTLOCATION
SPS.PLSNTHLWND,33.738889,-101.485,SPP,SETTLEMENTLOCATION
SPS.SAGAMORE.WND,33.938421,-103.1846,SPP,SETTLEMENTLOCATION
SPS.ROSVELTWND,33.926111,-103.5111,SPP,SETTLEMENTLOCATION
CROSSROADS1,38.363411,-97.68335,SPP,SETTLEMENTLOCATION
CROSSROADS2,38.363411,-97.68335,SPP,SETTLEMENTLOCATION
CROSSROADS3,38.363411,-97.68335,SPP,SETTLEMENTLOCATION
CROSSROADS4,38.363411,-97.68335,SPP,SETTLEMENTLOCATION
OKGEXROADSWIND,36.035,-98.72222,SPP,SETTLEMENTLOCATION
KCPL.SLATECREEK,37.1146,-97.2376,SPP,SETTLEMENTLOCATION
SPS.CUNNGHAM1,32.7131,-103.3533,SPP,SETTLEMENTLOCATION
SPS.CUNNGHAM3,32.7131,-103.3533,SPP,SETTLEMENTLOCATION
SPS.CUNNGHAM4,32.7131,-103.3533,SPP,SETTLEMENTLOCATION
WR_KP_WELLTNGT,37.2678,-97.3497,SPP,SETTLEMENTLOCATION
WR_KP_WELLTNST,37.261372,-97.4057,SPP,SETTLEMENTLOCATION
NPPD_HAST_DHPC,40.583155,-98.42006,SPP,SETTLEMENTLOCATION
WAUE.BEPM.BRADY1,46.646471,-102.7651,SPP,SETTLEMENTLOCATION
WAUE.BEPM.BRADY2,46.611515,-102.7882,SPP,SETTLEMENTLOCATION
KCPL.PRQUEEN,37.9788,-95.2244,SPP,SETTLEMENTLOCATION
WAUE.BEPM.DAYCOUNTY1,45.215,-97.9056,SPP,SETTLEMENTLOCATION
WAUE.BEPM.DCS1,44.39624,-96.53332,SPP,SETTLEMENTLOCATION
DEMPSEY_RIDGE_WIND,35.529778,-99.81446,SPP,SETTLEMENTLOCATION
